movieId,imdbId,Title,rating,Genre
2,113497,Jumanji (1995),6.9,Action|Adventure|Family
3,113228,Grumpier Old Men,,Romance|Comedy
5,113041,Father of the Bride Part II (1995),5.9,Comedy|Family|Romance
6,113277,Heat (1995),8.2,Action|Crime|Drama
7,114319,Sabrina (1995),6.3,Comedy|Drama
8,112302,Tom and Huck,,Family|Action|Adventure|Drama
10,113189,GoldenEye,,Adventure|Action|Thriller
12,112896,Dracula: Dead and Loving It (1995),5.8,Comedy|Fantasy|Horror
14,113987,Nixon (1995),7.1,Biography|Drama|History
16,112641,Casino (1995),8.2,Crime|Drama
17,114388,Sense and Sensibility (1995),7.7,Drama|Romance
19,112281,Ace Ventura: When Nature Calls (1995),6.3,Adventure|Comedy|Crime
21,113161,Get Shorty (1995),6.9,Comedy|Crime|Thriller
22,112722,Copycat (1995),6.6,Crime|Drama|Mystery
23,112401,Assassins,,Action|Adventure|Crime|Thriller
25,113627,Leaving Las Vegas (1995),7.6,Drama|Romance
26,114057,Othello,,Drama
27,114011,Now and Then (1995),6.8,Comedy|Drama|Romance
28,114117,Persuasion,7.7,Drama
29,112682,The City of Lost Children (1995),7.7,Fantasy|Sci-Fi
34,112431,Babe (1995),6.8,Comedy|Drama|Family
38,113442,It Takes Two (1995),5.7,Comedy|Family|Romance
39,112697,Clueless,,Comedy|Romance
42,112819,Dead Presidents,,Action|Crime|Drama|Thriller|War
44,113855,Mortal Kombat (1995),5.8,Action|Adventure|Fantasy
46,113347,How to Make an American Quilt,,Drama|Romance
47,114369,Se7en (1995),8.6,Crime|Drama|Mystery
48,114148,Pocahontas (1995),6.7,Animation|Adventure|Drama
49,114916,When Night Is Falling (1995),6.7,Drama|Romance
54,112499,The Big Green,,Family|Comedy
57,113321,Home for the Holidays (1995),6.6,Comedy|Drama|Romance
58,110877,Il Postino: The Postman (1994),7.7,Biography|Comedy|Drama
60,113419,The Indian in the Cupboard (1995),5.9,Drama|Family|Fantasy
61,116260,Eye for an Eye (1996),6.1,Crime|Drama|Thriller
62,113862,Mr. Holland's Opus (1995),7.3,Drama|Music
64,118002,Two If by Sea,,Comedy|Romance
68,113149,French Twist,,Comedy|Romance
70,116367,From Dusk Till Dawn (1996),7.3,Action|Crime|Horror
71,113010,Fair Game,,Action
72,113537,Kicking and Screaming,,Comedy|Drama|Romance
74,115644,Bed of Roses (1996),6.1,Romance|Drama
75,115676,Big Bully (1996),4.5,Comedy|Thriller
79,116731,The Juror (1996),5.6,Drama|Thriller
80,112445,The White Balloon (1995),7.8,Drama|Family
82,112379,Antonia's Line (1995),7.5,Comedy|Drama
83,114039,Once Upon a Time... When We Were Colored (1995),7.2,Drama|Romance
86,118158,White Squall (1996),6.6,Adventure|Drama
87,116151,Dunston Checks In (1996),5.3,Comedy|Adventure|Family
93,114825,Vampire in Brooklyn (1995),4.5,Comedy|Fantasy|Horror
94,115639,Beautiful Girls (1996),7.2,Comedy|Drama|Romance
95,115759,Broken Arrow (1996),6.0,Action|Crime|Thriller
96,113403,A Midwinter's Tale (1995),7.3,Comedy
97,113247,La Haine,,Drama
101,115734,Bottle Rocket,,Comedy|Crime|Drama
102,117102,Mr. Wrong (1996),3.8,Comedy
106,110251,Nobody Loves Me (1994),7.3,Comedy|Drama
110,112573,Braveheart,,Action|Drama|History|War
111,75314,Taxi Driver,,Crime|Drama
113,115645,Before and After (1996),6.1,Crime|Drama|Mystery
121,106473,The Boys of St. Vincent (1992),7.7,Drama
126,110647,The NeverEnding Story III,,Family|Fantasy|Adventure|Comedy
128,110217,Jupiter's Wife (1995),7.2,Documentary|Biography|Mystery
132,113451,Jade (1995),5.2,Crime|Drama|Thriller
135,116130,Down Periscope,,Comedy
137,113756,Man of the Year (1995),6.1,Comedy|Romance
140,118055,Up Close & Personal (1996),6.1,Drama|Romance
141,115685,The Birdcage (1996),7.0,Comedy
144,112585,The Brothers McMullen (1995),6.6,Comedy|Drama|Romance
147,112461,The Basketball Diaries (1995),7.3,Biography|Crime|Drama
148,112427,An Awfully Big Adventure (1995),6.0,Comedy|Drama|Romance
150,112384,Apollo 13 (1995),7.6,Adventure|Drama|History
151,114287,Rob Roy (1995),6.9,Adventure|Biography|History
152,112288,The Addiction (1995),6.4,Horror
153,112462,Batman Forever,,Action|Crime|Fantasy
